100_time:	  0.003	  0.003	  0.004	  0.002	  0.002	  0.002	  0.003	  0.003	  0.003	  0.003
100_mcips:	  1.797	  1.859	  1.526	  2.788	  2.770	  2.745	  1.781	  1.806	  1.801	  1.742
1000_time:	  0.017	  0.018	  0.018	  0.018	  0.028	  0.109	  0.017	  0.006	  0.017	  0.020
1000_mcips:	 29.533	 28.185	 29.065	 28.563	 18.368	  4.745	 28.619	 82.672	 28.751	 25.177
5000_time:	  0.062	  0.053	  0.060	  0.054	  0.063	  0.062	  0.048	  0.072	  0.042	  0.077
5000_mcips:	199.065	236.321	206.495	233.048	199.746	204.553	260.634	175.149	301.206	162.070
10000_time:	  0.120	  0.127	  0.124	  0.118	  0.126	  0.114	  0.121	  0.124	  0.126	  0.120
10000_mcips:	425.313	394.424	404.921	425.577	398.966	439.705	412.804	405.143	394.039	419.106
25000_time:	  0.420	  0.446	  0.452	  0.451	  0.445	  0.458	  0.443	  0.443	  0.457	  0.446
25000_mcips:	740.112	702.718	693.433	694.715	697.694	688.212	703.555	702.573	684.719	706.682
50000_time:	  1.489	  1.469	  1.504	  1.490	  1.475	  1.464	  1.477	  1.450	  1.484	  1.468
50000_mcips:	838,971	851.110	832.697	840.956	846.079	852.525	848.984	857.953	840.672	844.832

